"","Variables","1st Qu.","3rd Qu.","Max.   ","Mean   ","Median ","Min.   "
"1","Fixed Acidity"," 6.400  "," 7.700  ","15.900  "," 7.215  "," 7.000  "," 3.800  "
"2","Volatile Acidity","0.2300  ","0.4000  ","1.5800  ","0.3396  ","0.2900  ","0.0800  "
"3"," Citric Acid","0.2500  ","0.3900  ","1.6600  ","0.3186  ","0.3100  ","0.0000  "
"4","Residual Sugar"," 1.800  "," 8.100  ","26.050  "," 5.426  "," 3.000  "," 0.600  "
"5","  Chlorides","0.03800  ","0.06500  ","0.61100  ","0.05603  ","0.04700  ","0.00900  "
"6","Free Sulfur Dioxide"," 17.00  "," 41.00  ","289.00  "," 30.53  "," 29.00  ","  1.00  "
"7","Total Sulfur Dioxide"," 77.0  ","156.0  ","440.0  ","115.7  ","118.0  ","  6.0  "
"8","   Density","0.9923  ","0.9970  ","1.0037  ","0.9947  ","0.9949  ","0.9871  "
"9","      pH","3.110  ","3.320  ","4.010  ","3.218  ","3.210  ","2.720  "
"10","  Sulphates","0.4300  ","0.6000  ","2.0000  ","0.5313  ","0.5100  ","0.2200  "
"11","   Alcohol"," 9.50  ","11.30  ","14.90  ","10.49  ","10.30  "," 8.00  "
